OBJECTID_INT,dFSR_AALR_NAC_pct,dFSR_AALR_HAZ_pct
15908,1.727811551343464,0.792876493868675
15909,1.45479491770556,0.8938387326290718
15947,1.7224381083008367,0.7758673589136851
15948,1.822368599002458,0.787343398146437
15949,1.6943637513336653,0.763860873061379
15960,1.6997985566625642,0.7643867575598341
15961,1.8214231104988807,0.788104243723204
15967,1.8412945217279688,0.7968271595480809
15970,1.836918741788616,0.7969541979163276
15972,1.833539584476667,0.7891642354939661
15990,1.7043901408310318,0.7688542954164338
15993,1.7744916872938405,0.7817454160137811
22788,2.1066445921555723,0.8333089695159807
22879,1.7822134037674295,0.7855350364038486
22885,2.070210834102055,0.830130184618208
23662,1.7912765350956201,0.8035541718971606
25138,2.1006798651419083,0.8328490933968992
25160,1.8181332281217333,0.8543551425596075
25162,1.824099389840493,0.8545511310060542
25175,1.907901715816129,0.8077140968971741
25188,1.9935191967862984,0.8191659540301547
25193,1.875578601229346,0.8051630607266456
25227,2.0691119899249806,0.8299979818893353
33195,1.562988261992011,0.7874506405370989
33199,1.5441057910216842,0.7838892303424464
33200,1.5463040757600974,0.7845064794713138
33203,1.6886282958632934,0.810969890640466
33205,1.545299738716745,0.7840436642843489
33207,1.5450962092597724,0.7840335808462059
33211,1.545339376466105,0.7840536426298457
33220,1.570637671366353,0.7898208755253766
33240,1.7890377256680745,0.8296080202090159
33242,1.607103008572778,0.7955229882376736
33249,1.5447683908155452,0.7839702436042495
33252,1.5386208730189288,0.7840846659686538
33261,1.728348158001974,0.8209816684880988
33263,1.5143900594592903,0.7840523624191698
33272,1.761516553795136,0.8269351556658108
33285,1.5098525494674588,0.7836477732877929
33289,1.573286080237407,0.7942484585257039
33295,1.4940119151816058,0.7831031992305595
33296,1.7620365856696514,0.8269503081899424
33302,1.730044022140655,0.8214841269684413
33339,1.7649432089137205,0.8272007277173026
33347,1.512472603614189,0.7837696217215313
33357,1.761177193975358,0.8267082353046238
33358,1.757718619861481,0.8268327723838909
33359,1.5101224326848492,0.783639775131231
33376,1.595385439836957,0.7981738232699099
33380,1.5196987297401392,0.7854188247573236
33415,1.6862589191020012,0.8138812584974462
35256,1.5466522462769086,0.7842374989217759
35261,1.5285905362142675,0.785417613099784
35273,1.5460206763326938,0.7841911426212189
35276,1.7474801636093453,0.8488165895625936
35318,1.4540210514273555,0.9793063209948685
35334,1.089551676378022,0.8720951927811706
35352,1.8036170046661608,0.8889646317692095
35357,1.6432013810752042,0.8875005985212011
42199,1.7366803466754213,0.7846191202781023
42289,1.637692775259484,0.7818253215793807
42320,1.65283909160382,0.7856731193515188
43353,1.1209137670521827,0.8217351807274722
43360,1.2162990677082615,0.8450192153599252
43376,1.1003762083433186,0.8145371984186587
43377,1.1000008572429951,0.814407902998066
43408,1.382888474533197,0.8917776008475515
43473,1.393676770967029,0.9539522831208619
44333,1.7310764843648028,0.7914589124023093
44945,2.0505069709318606,0.8283601152874479
44977,1.7485591440985038,0.7867015131807427
45024,1.7468559708938207,0.7859546076101188
45053,1.7030605387528996,0.7961496743677933
45086,2.103644040813482,0.907324440225109
45449,1.100492563486202,0.8145710374152896
45464,1.7323954501950671,0.7855065107234724
45466,1.7336257135372253,0.7863322195893395
45467,1.7394618114462772,0.7881674658749348
45468,1.7339716872920234,0.7863394380172689
45470,1.474439760652319,0.9320197717428753
45510,1.6875288187976634,0.8999440919036574
45544,2.009538896196963,0.9178336603309117
45556,2.2420156114711376,0.9901558407184652
45561,2.0359495969163115,0.826598359841961
45576,1.75650572488367,0.8501112967683613
45577,1.76331342901635,0.8507770878765427
46018,1.7668472608318837,0.851098123048898
46030,1.7534844447080289,0.8493859543612895
46366,2.0966876882378753,0.9504024934233346
46367,1.712225471300848,0.8685587021604773
46369,2.1344580117678538,0.9750250566645862
46379,1.703778250733269,0.8812253860497875
46444,2.0578757731218205,0.907906499942836
46446,2.084354923991065,0.9402307783818862
46447,1.7047604184780678,0.8723969499944035
46451,1.7100051097611255,0.8650502164353909
46547,2.1074744773342857,0.9511781380654019
46552,2.089136512556148,0.9350338367916634
46553,1.7400183564942346,0.8679779566002116
46555,1.7191817692554736,0.8756482799080144
6571,1.3440218700584603,0.8877470241982496
9056,1.432011096553579,0.9197528652907079
